algorithm,dimension,TP,FN,FP,TN,sensitivity,specificity,precision,neg_predictive_value,accuracy_biased,accuracy_balanced,f1_score
adam,1,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
adam,2,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
adam,3,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
rda,1,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
rda,2,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
rda,3,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
arow,1,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
arow,2,49,56,0,53,0.4666666666666667,1.0,1.0,0.48623853211009177,0.6455696202531646,0.7333333333333334,0.6363636363636364
arow,3,87,18,0,53,0.8285714285714286,1.0,1.0,0.7464788732394366,0.8860759493670886,0.9142857142857144,0.90625
scw,1,1,104,0,53,0.009523809523809525,1.0,1.0,0.3375796178343949,0.34177215189873417,0.5047619047619047,0.01886792452830189
scw,2,38,67,0,53,0.3619047619047619,1.0,1.0,0.44166666666666665,0.5759493670886076,0.680952380952381,0.5314685314685315
scw,3,53,52,0,53,0.5047619047619047,1.0,1.0,0.5047619047619047,0.6708860759493671,0.7523809523809524,0.6708860759493671
nherd,1,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
nherd,2,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
nherd,3,60,45,0,53,0.5714285714285714,1.0,1.0,0.5408163265306123,0.7151898734177216,0.7857142857142857,0.7272727272727273
pa,1,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
pa,2,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
pa,3,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
pa1,1,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
pa1,2,11,94,0,53,0.10476190476190476,1.0,1.0,0.36054421768707484,0.4050632911392405,0.5523809523809524,0.1896551724137931
pa1,3,56,49,0,53,0.5333333333333333,1.0,1.0,0.5196078431372549,0.689873417721519,0.7666666666666666,0.6956521739130436
pa2,1,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
pa2,2,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
pa2,3,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
