algorithm,dimension,TP,FN,FP,TN,sensitivity,specificity,precision,neg_predictive_value,accuracy_biased,accuracy_balanced,f1_score
adam,1,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
adam,2,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
adam,3,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
rda,1,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
rda,2,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
rda,3,27,78,0,53,0.2571428571428571,1.0,1.0,0.40458015267175573,0.5063291139240507,0.6285714285714286,0.40909090909090906
arow,1,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
arow,2,61,44,0,53,0.580952380952381,1.0,1.0,0.5463917525773195,0.7215189873417721,0.7904761904761906,0.7349397590361446
arow,3,98,7,0,53,0.9333333333333333,1.0,1.0,0.8833333333333333,0.9556962025316456,0.9666666666666667,0.9655172413793104
scw,1,1,104,0,53,0.009523809523809525,1.0,1.0,0.3375796178343949,0.34177215189873417,0.5047619047619047,0.01886792452830189
scw,2,90,15,0,53,0.8571428571428571,1.0,1.0,0.7794117647058824,0.9050632911392406,0.9285714285714286,0.923076923076923
scw,3,89,16,0,53,0.8476190476190476,1.0,1.0,0.7681159420289855,0.8987341772151899,0.9238095238095239,0.9175257731958762
nherd,1,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
nherd,2,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
nherd,3,70,35,0,53,0.6666666666666666,1.0,1.0,0.6022727272727273,0.7784810126582279,0.8333333333333333,0.8
pa,1,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
pa,2,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
pa,3,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
pa1,1,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
pa1,2,53,52,0,53,0.5047619047619047,1.0,1.0,0.5047619047619047,0.6708860759493671,0.7523809523809524,0.6708860759493671
pa1,3,80,25,0,53,0.7619047619047619,1.0,1.0,0.6794871794871795,0.8417721518987342,0.8809523809523809,0.8648648648648648
pa2,1,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
pa2,2,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
pa2,3,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
