algorithm,dimension,TP,FN,FP,TN,sensitivity,specificity,precision,neg_predictive_value,accuracy_biased,accuracy_balanced,f1_score
adam,1,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
adam,2,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
adam,3,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
rda,1,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
rda,2,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
rda,3,34,71,0,53,0.3238095238095238,1.0,1.0,0.4274193548387097,0.5506329113924051,0.6619047619047619,0.4892086330935252
arow,1,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
arow,2,63,42,0,53,0.6,1.0,1.0,0.5578947368421052,0.7341772151898734,0.8,0.7499999999999999
arow,3,99,6,0,53,0.9428571428571428,1.0,1.0,0.8983050847457628,0.9620253164556962,0.9714285714285714,0.9705882352941176
scw,1,1,104,0,53,0.009523809523809525,1.0,1.0,0.3375796178343949,0.34177215189873417,0.5047619047619047,0.01886792452830189
scw,2,99,6,0,53,0.9428571428571428,1.0,1.0,0.8983050847457628,0.9620253164556962,0.9714285714285714,0.9705882352941176
scw,3,98,7,0,53,0.9333333333333333,1.0,1.0,0.8833333333333333,0.9556962025316456,0.9666666666666667,0.9655172413793104
nherd,1,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
nherd,2,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
nherd,3,72,33,0,53,0.6857142857142857,1.0,1.0,0.6162790697674418,0.7911392405063291,0.8428571428571429,0.8135593220338984
pa,1,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
pa,2,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
pa,3,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
pa1,1,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
pa1,2,58,47,0,53,0.5523809523809524,1.0,1.0,0.53,0.7025316455696202,0.7761904761904762,0.7116564417177914
pa1,3,84,21,0,53,0.8,1.0,1.0,0.7162162162162162,0.8670886075949367,0.9,0.888888888888889
pa2,1,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
pa2,2,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
pa2,3,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
