algorithm,dimension,TP,FN,FP,TN,sensitivity,specificity,precision,neg_predictive_value,accuracy_biased,accuracy_balanced,f1_score
adam,1,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
adam,2,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
adam,3,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
rda,1,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
rda,2,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
rda,3,14,91,0,53,0.13333333333333333,1.0,1.0,0.3680555555555556,0.4240506329113924,0.5666666666666667,0.23529411764705882
arow,1,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
arow,2,58,47,0,53,0.5523809523809524,1.0,1.0,0.53,0.7025316455696202,0.7761904761904762,0.7116564417177914
arow,3,96,9,0,53,0.9142857142857143,1.0,1.0,0.8548387096774194,0.9430379746835443,0.9571428571428571,0.955223880597015
scw,1,1,104,0,53,0.009523809523809525,1.0,1.0,0.3375796178343949,0.34177215189873417,0.5047619047619047,0.01886792452830189
scw,2,74,31,0,53,0.7047619047619048,1.0,1.0,0.6309523809523809,0.8037974683544303,0.8523809523809525,0.8268156424581006
scw,3,78,27,0,53,0.7428571428571429,1.0,1.0,0.6625,0.8291139240506329,0.8714285714285714,0.8524590163934427
nherd,1,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
nherd,2,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
nherd,3,67,38,0,53,0.638095238095238,1.0,1.0,0.5824175824175825,0.759493670886076,0.819047619047619,0.7790697674418604
pa,1,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
pa,2,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
pa,3,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
pa1,1,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
pa1,2,33,72,0,53,0.3142857142857143,1.0,1.0,0.424,0.5443037974683544,0.6571428571428571,0.4782608695652174
pa1,3,75,30,0,53,0.7142857142857143,1.0,1.0,0.6385542168674698,0.810126582278481,0.8571428571428572,0.8333333333333333
pa2,1,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
pa2,2,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
pa2,3,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
